date,distance,time,heart_rate,speed,duration
2022-05-10,0,2022-05-10T21:42:26Z,83,NA,NA
2022-05-10,10,2022-05-10T21:42:52Z,92,0.3777267866564436,26.474161624908447
2022-05-10,20,2022-05-10T21:42:57Z,96.27777389848842,2.1960587529321858,4.553612232208252
2022-05-10,30,2022-05-10T21:42:59Z,97.81016595226114,3.948835686301019,2.5323920249938965
2022-05-10,40,2022-05-10T21:43:02Z,99.22209025355377,4.1460669981171066,2.411924362182617
2022-05-10,50,2022-05-10T21:43:04Z,100.95333915178082,3.6613287652387183,2.7312488555908203
2022-05-10,60,2022-05-10T21:43:07Z,101.79969760350265,3.5132608445638827,2.84635853767395
2022-05-10,70,2022-05-10T21:43:10Z,104.3873676912657,3.864480270143894,2.587670087814331
2022-05-10,80,2022-05-10T21:43:12Z,108.53079000721162,4.205166365238046,2.3780272006988525
2022-05-10,90,2022-05-10T21:43:14Z,111.93197983335477,4.544225741292165,2.200594902038574
2022-05-10,100,2022-05-10T21:43:17Z,114.13929010255575,4.601297002177175,2.173300266265869
2022-05-10,110,2022-05-10T21:43:19Z,116.55710736856531,4.1359617105153,2.4178173542022705
2022-05-10,120,2022-05-10T21:43:22Z,118,3.5004576387277115,2.856769323348999
2022-05-10,130,2022-05-10T21:43:24Z,118.9258662923287,3.980908211503972,2.5119895935058594
2022-05-10,140,2022-05-10T21:43:26Z,119.97219881174836,4.886791705406306,2.046332359313965
2022-05-10,150,2022-05-10T21:43:27Z,121.8692075003236,10.39063632212998,0.9624049663543701
2022-05-10,160,2022-05-10T21:43:29Z,123.7042238165575,5.650930133078247,1.7696201801300049
2022-05-10,170,2022-05-10T21:43:31Z,125.4166339410009,5.839723055126109,1.7124099731445313
2022-05-10,180,2022-05-10T21:43:33Z,127.01155996271373,6.269882900410413,1.594926118850708
2022-05-10,190,2022-05-10T21:43:34Z,128,6.594081478325533,1.5165114402770996
2022-05-10,200,2022-05-10T21:43:36Z,128,6.327517789385264,1.5803985595703125
2022-05-10,210,2022-05-10T21:43:37Z,127.04850379026499,5.425858954450408,1.8430261611938477
2022-05-10,220,2022-05-10T21:43:39Z,126.04233734369846,4.984631240082562,2.006166458129883
2022-05-10,230,2022-05-10T21:43:41Z,126,4.997550257842511,2.0009803771972656
2022-05-10,240,2022-05-10T21:43:43Z,126,5.034801110360867,1.986175775527954
2022-05-10,250,2022-05-10T21:43:46Z,127,4.260305937678293,2.3472492694854736
2022-05-10,260,2022-05-10T21:43:49Z,128,3.6625778994551155,2.7303173542022705
2022-05-10,270,2022-05-10T21:43:51Z,128.63585800406082,3.8263265575892933,2.6134727001190186
2022-05-10,280,2022-05-10T21:43:54Z,130,3.7145863464926494,2.692089796066284
2022-05-10,290,2022-05-10T21:43:57Z,132.26865990209313,3.400537041601266,2.9407119750976563
2022-05-10,300,2022-05-10T21:44:00Z,135.25645560731016,3.3469489114187323,2.987795829772949
2022-05-10,310,2022-05-10T21:44:03Z,138.13905997162217,3.4690851567248684,2.8826043605804443
2022-05-10,320,2022-05-10T21:44:05Z,140.78298835058743,3.782250842445682,2.643928289413452
2022-05-10,330,2022-05-10T21:44:08Z,143.27181659221205,4.01795514509093,2.488828182220459
2022-05-10,340,2022-05-10T21:44:11Z,146,3.456671692240392,2.892956256866455
2022-05-10,350,2022-05-10T21:44:14Z,144.61665928994654,3.1069719426841522,3.2185678482055664
2022-05-10,360,2022-05-10T21:44:17Z,143,3.0486949747352448,3.2800920009613037
2022-05-10,370,2022-05-10T21:44:21Z,141.9998131949216,2.996924266767805,3.336754322052002
2022-05-10,380,2022-05-10T21:44:23Z,141.42438623701463,4.125073307192715,2.424199342727661
2022-05-10,390,2022-05-10T21:44:25Z,142.41731955767412,5.0177294613402035,1.9929332733154297
2022-05-10,400,2022-05-10T21:44:27Z,143.30609714600385,5.294429878313938,1.888777494430542
2022-05-10,410,2022-05-10T21:44:29Z,144.02141170474607,5.82983427318814,1.7153146266937256
2022-05-10,420,2022-05-10T21:44:30Z,145,6.189061383395482,1.6157538890838623
2022-05-10,430,2022-05-10T21:44:32Z,146,5.652345823025131,1.769176959991455
2022-05-10,440,2022-05-10T21:44:34Z,147,4.938491158928295,2.0249099731445313
2022-05-10,450,2022-05-10T21:44:36Z,146.49751568377755,4.82804473986161,2.0712318420410156
2022-05-10,460,2022-05-10T21:44:38Z,145.6313858954576,5.358683837060802,1.8661298751831055
2022-05-10,470,2022-05-10T21:44:40Z,144.8211687144444,5.524199151252647,1.8102171421051025
2022-05-10,480,2022-05-10T21:44:42Z,142.93424491543263,5.299631099630392,1.8869237899780273
2022-05-10,490,2022-05-10T21:44:44Z,141.85627252373183,4.812383428059508,2.077972412109375
2022-05-10,500,2022-05-10T21:44:46Z,140,3.9034294176819984,2.56184983253479
2022-05-10,510,2022-05-10T21:44:50Z,138,2.620748122495661,3.815704345703125
2022-05-10,520,2022-05-10T21:44:53Z,136.41503972407813,3.2640500594591484,3.063678503036499
2022-05-10,530,2022-05-10T21:44:56Z,135,3.2778668432241305,3.050764560699463
2022-05-10,540,2022-05-10T21:44:59Z,136.78078287010717,3.1795914437740547,3.1450581550598145
2022-05-10,550,2022-05-10T21:45:03Z,138.11156226290979,3.0023003799273904,3.3307793140411377
2022-05-10,560,2022-05-10T21:45:05Z,139.9003767141887,3.5857529569631406,2.7888145446777344
2022-05-10,570,2022-05-10T21:45:08Z,143.22743165745575,4.518060537407724,2.21333909034729
2022-05-10,580,2022-05-10T21:45:09Z,146.90589996209226,5.4370457385219435,1.8392341136932373
